_id,Institution Name,Institution Address,Outbreak Setting,Type of Outbreak,Causative Agent-1,Causative Agent-2,Date Outbreak Began,Date Declared Over,Active
786,Hellenic Home Scarborough - 1st Fl,2411 Lawrence Ave E,LTCH,Respiratory,Influenza A (Not subtyped),None,2024-03-16,2024-04-02,N
787,Villa Colombo Homes For The Aged - Fidani Unit,40 Playfair Ave,LTCH,Respiratory,Coronavirus*,None,2024-03-16,2024-03-26,N
788,Eatonville Care Centre - 3rd Fl,420 The East Mall,LTCH,Respiratory,Coronavirus*,None,2024-03-16,2024-03-27,N
789,Cummer Lodge - 3 North,205 Cummer Ave,LTCH,Respiratory,Influenza A (Not subtyped),None,2024-03-15,2024-03-22,N
790,UHN - Toronto Western Hosptial - 8B,399 Bathurst St,Hospital-Acute Care,Respiratory,Respiratory syncytial virus,None,2024-03-15,2024-04-02,N
791,Unity Health Toronto - St. Joseph's - 7M,30 The Queensway,Hospital-Acute Care,Respiratory,COVID-19,None,2024-03-14,2024-03-27,N
792,Baycrest Hospital CCC - BH4E,3560 Bathurst St,Hospital-Chronic Care,Respiratory,Metapneumovirus,None,2024-03-14,2024-03-27,N
793,TEHN - Michael Garron Hospital - A3,825 Coxwell Ave,Hospital-Acute Care,Enteric,Unable to identify,None,2024-03-14,2024-03-22,N
794,The Salvation Army-Toronto Grace Health Ctre-Specialized Care - 5th Fl,1020 McNicoll Ave,Hospital-Chronic Care,Enteric,Norovirus,None,2024-03-13,2024-03-19,N
795,"Shepherd Lodge - 2S, 3N, 3S, 6N & 6S",3760 Sheppard Ave E,LTCH,Respiratory,Metapneumovirus,None,2024-03-13,2024-04-29,N
796,"Tendercare Living Centre - 2E, 2W & 3W",1020 McNicoll Ave,LTCH,Enteric,Unable to identify,None,2024-03-11,2024-03-18,N
797,Toronto Rehabilitation Institute - Bickle Centre - N5B,130 Dunn Ave,Hospital-Chronic Care,Respiratory,Respiratory syncytial virus,None,2024-03-11,2024-03-16,N
798,The Wexford Residence - 6th Fl,1860 Lawrence Ave E,LTCH,Respiratory,Parainfluenza,None,2024-03-11,2024-03-22,N
799,William Osler Health System - 8W (Surgical Unit),101 Humber College Blvd,Hospital-Acute Care,Respiratory,COVID-19,None,2024-03-10,2024-03-18,N
800,True Davidson Acres - Toronto - 5th Fl,200 Dawes Rd,LTCH,Respiratory,COVID-19,None,2024-03-09,2024-03-17,N
801,The Village of Humber Heights - Lambton,2245 Lawrence Ave W,LTCH,Respiratory,Coronavirus*,None,2024-03-09,2024-03-21,N
